Time	Par	Revoluciones	Potencia	Valve	Throttle	P1 GASOIL	P2 ACEITE	T1 ESCAPE A	T2 ESCAPE B 	T3 AGUA SAL B	T4 AGUA SAL A	Pattern Phase	Pattern Timer	Pass/Fail	Pass/Fail Description	Aux 1	P3 ESCAPE B	P4 ESCAPE A	P5 SAL AGUA	P6 ENT AGUA	P7 ADMIS A	P8 ADMIS B	P9 ATMOSFERICA	T5 ENTRADA AGUA	T6 AIRE ADM B	T7 GASOIL	T8 AIRE ADM A	T9 ASPIRACION A	T10 AMBIENTE	T11 ASPIRACION B	T12 ACEITE	Temp 13	Temp 14	Temp 15	Temp 16	CARRERA	KICK-DOWN1	KICK-DOWN2	KW+	CALC1	CALC2	CALC3	DIF_ESCAPE	CALC5	CALC6	CALC7	DIF. TEMP AGUA	CALC9	Fuelmaster	Fuelslave	CONSUMO_LPH	CONSUM_KGH	TEMP_MKE	P_ACEITE_MKE	P_AIRE_MKE	VENTILADOR1	VENTILADOR2
44134.0068981481	642.532301664959	1868.725	125.744454405454	10.2669096465909	57.2263350670161	4.01077881794286	3.87779500590999	149.5333345296	185.0777792584	89.5222229384	89.3666673816	F0- TABLA CONEX VENTIADORES	5.50851254956797E-04	0		7.48359944242951E-02	13.2047335296854	3.00839613669995	1.59668063789474	0.817750284418607	7.68165894836957E-02	6.78172849180328E-02	13.5527750555539	89.7111118288	85.4555562392	28.9000002312	87.1444451416	22.6333335144	23.1777779632	23.722222412	82.5666673272	-9999	-9999	-9999	-9999	7.2	0	0	133.214611816788	301.16	365.14	-63.98	-35.5444447288	193.48	193.14	-0.519999999999982	-0.2888888912	31.48	1.54684000000176	1.50173000000176	45.1099999999993	38.3434999999994	90.98	3.68	0.017	1	0
44134.0069560185	747.700977503559	1939.05415384615	151.81128637027	11.4494940703638	56.9667190334229	4.04229770845715	3.90208182223092	161.833334628	195.3777793408	89.6222229392	89.5666673832	F0- TABLA CONEX VENTIADORES	6.09446673479397E-04	0		7.46537620869827E-02	13.4405323427155	3.45080733327347	1.66119298690058	0.86585324232558	0.082437315543478	8.10039792076501E-02	13.5527750555539	89.9111118304	85.55555624	28.8000002304	87.1444451416	22.5333335136	23.277777964	23.722222412	82.5666673272	-9999	-9999	-9999	-9999	7.2	0	0	160.830007803077	323.3	383.68	-60.38	-33.5444447128	193.84	193.32	-0.52000000000001	-0.2888888912	31.48	1.55258000000176	1.48719000000176	65.3900000000007	55.5815000000006	91.32	3.68	0.022	1	0
44134.0070138889	855.184307340508	1948.84453846154	174.510912354153	12.3799349064246	57.8337093591634	3.97925992742858	3.89398621679061	172.333334712	205.4777794216	90.1222229432	89.8666673856	F0- TABLA CONEX VENTIADORES	6.67202431941405E-04	0		7.48359944242951E-02	13.0868341231703	3.45080733327347	1.74183342315789	0.889904721279073	0.103046644429348	8.66554196174866E-02	13.5527750555539	90.2111118328	85.6555562408	28.8000002304	87.2444451424	22.5333335136	23.3777779648	23.722222412	82.5666673272	-9999	-9999	-9999	-9999	7.2	0	0	184.878160686852	342.2	401.86	-59.66	-33.1444447096	194.38	194.22	-0.159999999999997	-8.88888896000001E-02	31.84	1.55258000000176	1.49844000000176	54.1400000000003	46.0190000000003	91.72	3.68	0.027	1	0
44134.0070717593	952.951658155311	1930.52835714286	192.631384003395	13.3882597672494	59.0745251660344	3.93198159165715	3.87779500590999	183.6333348024	217.6777795192	90.5222229464	90.2666673888	F0- TABLA CONEX VENTIADORES	7.25164718460292E-04	0		7.49271105929513E-02	11.3183430254446	3.09687837601466	1.74989746678362	0.929990519534887	0.104920219782609	9.23068600273224E-02	13.5527750555539	90.5111118352	85.8555562424	28.8000002304	87.444445144	22.4333335128	23.277777964	23.5222224104	82.5666673272	-9999	-9999	-9999	-9999	7.19	0	0	204.075123352954	362.54	423.82	-61.28	-34.0444447168	195.1	195.12	2.00000000000102E-02	1.11111112000017E-02	32.02	1.55258000000176	1.49036000000176	59.0100000000007	50.1585000000006	92.14	3.68	0.033	1	0
44134.0071296296	1051.68699895279	1944.67476923077	214.145705233653	14.3209018092837	59.441787584018	3.94774103691429	3.86969940046967	195.6333348984	228.8777796088	91.0222229504	90.7666673928	F0- TABLA CONEX VENTIADORES	7.82957700721454E-04	0		7.49271105929513E-02	11.0825442124145	3.36232509395876	1.79828172853801	0.962059158139533	0.118035247255435	0.101725927377049	13.5527750555539	91.11111184	86.055556244	28.9000002312	87.7444451464	22.4333335128	23.4777779656	23.6222224112	82.666667328	-9999	-9999	-9999	-9999	7.2	0	0	226.867555549998	384.14	443.98	-59.84	-33.2444447104	195.82	195.84	2.00000000000102E-02	1.11111112000017E-02	32.02	1.55844000000176	1.48719000000176	71.2499999999991	60.5624999999993	92.53	3.68	0.04	1	0
44134.0071875	1168.21660722073	1962.446	239.001556411942	14.7625014380534	60.2424620275096	3.91622214640001	3.86969940046967	207.1333349904	240.0777796984	91.6222229552	91.2666673968	F0- TABLA CONEX VENTIADORES	8.4090897871647E-04	0		7.46537620869827E-02	8.48875726908348	3.45080733327347	1.84666599029239	1.01817927569767	0.123655973315218	0.10926118125683	13.5527750555539	91.611111844	86.2555562456	28.9000002312	87.944445148	22.333333512	23.3777779648	23.5222224104	82.5666673272	-9999	-9999	-9999	-9999	7.2	0	0	252.97107139135	404.84	464.14	-59.3	-32.944444708	196.72	196.74	1.99999999999818E-02	1.11111112000017E-02	32.02	1.55844000000176	1.48093000000176	73.2199999999992	62.2369999999993	93.11	3.68	0.048	1	0
44134.0072453704	1297.68986411454	1952.24084615385	265.267161311552	15.2311545057133	61.4746117627672	3.90046270114286	3.82922137326811	218.7333350832	251.5777797904	92.1222229592	91.7666674008	F0- TABLA CONEX VENTIADORES	9.04619424545672E-04	0		7.48359944242951E-02	9.0782543016587	3.45080733327347	1.92730642654971	1.05826507395349	0.136771000788043	0.118680248606558	13.7103654631766	92.111111848	86.555556248	28.8000002304	88.0444451488	22.2333335112	23.3777779648	23.5222224104	82.666667328	-9999	-9999	-9999	-9999	7.19	0	0	281.026006983311	425.72	484.84	-59.12	-32.8444447072	197.44	197.82	0.379999999999995	0.211111112800001	32.38	1.55844000000176	1.48561000000176	70.8599999999997	60.2309999999997	93.59	3.68	0.057	1	0
44134.0073032407	1363.69117184709	1957.62735714286	279.515775912612	15.966521608301	62.0460660635792	3.90046270114286	3.82922137326811	231.4333351848	263.6777798872	92.6222229632	92.166667404	F0- TABLA CONEX VENTIADORES	9.56554373260587E-04	0		7.48359944242951E-02	7.54556201696306	3.53928957258817	1.99988281918128	1.13041951081395	0.149886028260869	0.128099315956284	13.7103654631766	92.4111118504	86.6555562488	28.8000002304	88.2444451504	22.4333335128	23.4777779656	23.6222224112	82.666667328	-9999	-9999	-9999	-9999	7.21	0	0	296.121095446511	448.58	506.62	-58.04	-32.2444447024	198.34	198.72	0.379999999999995	0.111111112000002	32.2	1.56238000000176	1.48093000000176	81.4499999999985	69.2324999999987	93.98	3.68	0.067	1	0
44134.0073611111	1479.24153709606	1992.07791666667	308.550904222752	15.9471265033114	62.5976389762409	3.80590602960001	3.85350818958905	243.33333528	275.0777799784	93.1222229672	92.8666674096	F0- TABLA CONEX VENTIADORES	0.001014395376842	0		7.49271105929513E-02	9.54985192771891	3.45080733327347	2.11277942994152	1.20257394767442	0.174242507853261	0.139402196775956	13.5527750555539	93.111111856	87.055556252	28.9000002312	88.6444451536	22.333333512	23.4777779656	23.6222224112	82.666667328	-9999	-9999	-9999	-9999	7.2	0	0	326.881126695398	470	527.14	-57.14	-31.7444446984	199.42	199.26	-0.159999999999997	-8.88888896000001E-02	31.84	1.56638000000176	1.47938000000176	91.1000000000008	77.4350000000007	94.73	3.68	0.074	1	0
44134.0074189815	1475.1841580935	1964.92225	303.512121584562	16.3702036608013	63.136023864371	3.85318436537144	3.80493455694717	257.4333353928	287.277780076	93.8222229728	93.3666674136	F0- TABLA CONEX VENTIADORES	1.07231185393175E-03	0		7.46537620869827E-02	7.66346142347814	3.53928957258817	2.1853558225731	1.29076270383721	0.191104686032609	0.145053637185792	13.5527750555539	93.61111186	87.2555562536	28.9000002312	88.944445156	22.2333335112	23.5777779664	23.722222412	82.7666673288	-9999	-9999	-9999	-9999	7.19	0	0	321.543002828629	495.38	549.1	-53.72	-29.8444446832	200.32	200.88	0.560000000000002	0.311111113600001	32.56	1.56638000000176	1.47784000000176	88.5400000000001	75.2590000000001	95.25	3.69	0.082	1	0
44134.0074768519	1492.7622580363	1992.51433333333	311.449202995708	16.1898100949309	62.4848825054594	3.79802630697143	3.79683895150685	268.4333354808	297.77778016	94.3222229768	93.9666674184	F0- TABLA CONEX VENTIADORES	1.13027808401966E-03	0		7.48359944242951E-02	8.96035489514361	3.62777181190287	2.29825243333333	1.37895146	0.191104686032609	0.154472704535519	13.5527750555539	94.2111118648	87.555556256	28.9000002312	89.3444451592	22.1333335104	23.4777779656	23.6222224112	82.7666673288	-9999	-9999	-9999	-9999	7.2	0	0	329.951606008335	515.18	568	-52.8200000000001	-29.3444446792001	201.58	201.78	0.200000000000017	0.111111112000002	32.2	1.57042000000176	1.47025000000176	100.17	85.1445000000003	95.75	3.68	0.09	1	0
44134.0075347222	1477.76115543623	2054.32976923077	317.863545168816	16.6142496658581	61.4163809150313	3.79014658434286	3.82112576782779	277.9333355568	308.5777802464	94.9222229816	94.5666674232	F0- TABLA CONEX VENTIADORES	1.18798997573322E-03	0		7.49271105929513E-02	10.021449553779	3.53928957258817	2.45953330584795	1.48317453546512	0.191104686032609	0.160124144945355	13.5527750555539	94.8111118696	87.9555562592	28.9000002312	89.6444451616	22.2333335112	23.5777779664	23.8222224128	82.8666673296	-9999	-9999	-9999	-9999	7.21	0	0	336.747007894571	532.28	587.44	-55.16	-30.6444446896	202.66	202.68	2.00000000000102E-02	1.11111112000017E-02	32.02	1.57656000000176	1.47175000000176	104.810000000001	89.0885000000004	96.47	3.62	0.094	1	0
44134.0075925926	1558.75944858836	1988.2425	324.518099619522	16.0692392748444	63.4292309563496	3.73498852594286	3.78064774062623	284.5333356096	315.777780304	95.5222229864	95.166667428	F0- TABLA CONEX VENTIADORES	1.24586217134492E-03	0		7.49271105929513E-02	10.1393489602941	3.53928957258817	2.54823778573099	1.61946624953489	0.200472562798913	0.156356518005464	13.5527750555539	95.5111118752	88.2555562616	28.9000002312	90.0444451648	22.1333335104	23.6777779672	23.8222224128	82.8666673296	-9999	-9999	-9999	-9999	7.2	0	0	343.796892457321	544.16	600.4	-56.24	-31.2444446944	203.92	203.94	2.00000000000102E-02	1.11111112000017E-02	32.56	1.56839000000176	1.48248000000176	85.9099999999984	73.0234999999986	96.98	3.62	0.087	1	0
